smiles,pIC50,QED,TPSA,logP,heavy_atom_count,ratio_C,ratio_N,ratio_O,ratio_F,ratio_S,ratio_Br,ratio_Cl,ratio_I,ratio_C_N,ratio_C_O,ratio_C_F,ratio_C_S,ratio_C_Br,ratio_C_Cl,ratio_C_I,ratio_N_O,ratio_N_F,ratio_N_S,ratio_N_Br,ratio_N_Cl,ratio_N_I,ratio_O_F,ratio_O_S,ratio_O_Br,ratio_O_Cl,ratio_O_I,ratio_F_S,ratio_F_Br,ratio_F_Cl,ratio_F_I,ratio_S_Br,ratio_S_Cl,ratio_S_I,ratio_Br_Cl,ratio_Br_I,ratio_Cl_I,ratio_C_N_O,ratio_C_N_F,ratio_C_N_S,ratio_C_N_Br,ratio_C_N_Cl,ratio_C_N_I,ratio_C_O_F,ratio_C_O_S,ratio_C_O_Br,ratio_C_O_Cl,ratio_C_O_I,ratio_C_F_S,ratio_C_F_Br,ratio_C_F_Cl,ratio_C_F_I,ratio_C_S_Br,ratio_C_S_Cl,ratio_C_S_I,ratio_C_Br_Cl,ratio_C_Br_I,ratio_C_Cl_I,ratio_N_O_F,ratio_N_O_S,ratio_N_O_Br,ratio_N_O_Cl,ratio_N_O_I,ratio_N_F_S,ratio_N_F_Br,ratio_N_F_Cl,ratio_N_F_I,ratio_N_S_Br,ratio_N_S_Cl,ratio_N_S_I,ratio_N_Br_Cl,ratio_N_Br_I,ratio_N_Cl_I,ratio_O_F_S,ratio_O_F_Br,ratio_O_F_Cl,ratio_O_F_I,ratio_O_S_Br,ratio_O_S_Cl,ratio_O_S_I,ratio_O_Br_Cl,ratio_O_Br_I,ratio_O_Cl_I,ratio_F_S_Br,ratio_F_S_Cl,ratio_F_S_I,ratio_F_Br_Cl,ratio_F_Br_I,ratio_F_Cl_I,ratio_S_Br_Cl,ratio_S_Br_I,ratio_S_Cl_I,ratio_Br_Cl_I,ratio_C_N_O_F,ratio_C_N_O_S,ratio_C_N_O_Br,ratio_C_N_O_Cl,ratio_C_N_O_I,ratio_C_N_F_S,ratio_C_N_F_Br,ratio_C_N_F_Cl,ratio_C_N_F_I,ratio_C_N_S_Br,ratio_C_N_S_Cl,ratio_C_N_S_I,ratio_C_N_Br_Cl,ratio_C_N_Br_I,ratio_C_N_Cl_I,ratio_C_O_F_S,ratio_C_O_F_Br,ratio_C_O_F_Cl,ratio_C_O_F_I,ratio_C_O_S_Br,ratio_C_O_S_Cl,ratio_C_O_S_I,ratio_C_O_Br_Cl,ratio_C_O_Br_I,ratio_C_O_Cl_I,ratio_C_F_S_Br,ratio_C_F_S_Cl,ratio_C_F_S_I,ratio_C_F_Br_Cl,ratio_C_F_Br_I,ratio_C_F_Cl_I,ratio_C_S_Br_Cl,ratio_C_S_Br_I,ratio_C_S_Cl_I,ratio_C_Br_Cl_I,ratio_N_O_F_S,ratio_N_O_F_Br,ratio_N_O_F_Cl,ratio_N_O_F_I,ratio_N_O_S_Br,ratio_N_O_S_Cl,ratio_N_O_S_I,ratio_N_O_Br_Cl,ratio_N_O_Br_I,ratio_N_O_Cl_I,ratio_N_F_S_Br,ratio_N_F_S_Cl,ratio_N_F_S_I,ratio_N_F_Br_Cl,ratio_N_F_Br_I,ratio_N_F_Cl_I,ratio_N_S_Br_Cl,ratio_N_S_Br_I,ratio_N_S_Cl_I,ratio_N_Br_Cl_I,ratio_O_F_S_Br,ratio_O_F_S_Cl,ratio_O_F_S_I,ratio_O_F_Br_Cl,ratio_O_F_Br_I,ratio_O_F_Cl_I,ratio_O_S_Br_Cl,ratio_O_S_Br_I,ratio_O_S_Cl_I,ratio_O_Br_Cl_I,ratio_F_S_Br_Cl,ratio_F_S_Br_I,ratio_F_S_Cl_I,ratio_F_Br_Cl_I,ratio_S_Br_Cl_I,ratio_C_N_O_F_S,ratio_C_N_O_F_Br,ratio_C_N_O_F_Cl,ratio_C_N_O_F_I,ratio_C_N_O_S_Br,ratio_C_N_O_S_Cl,ratio_C_N_O_S_I,ratio_C_N_O_Br_Cl,ratio_C_N_O_Br_I,ratio_C_N_O_Cl_I,ratio_C_N_F_S_Br,ratio_C_N_F_S_Cl,ratio_C_N_F_S_I,ratio_C_N_F_Br_Cl,ratio_C_N_F_Br_I,ratio_C_N_F_Cl_I,ratio_C_N_S_Br_Cl,ratio_C_N_S_Br_I,ratio_C_N_S_Cl_I,ratio_C_N_Br_Cl_I,ratio_C_O_F_S_Br,ratio_C_O_F_S_Cl,ratio_C_O_F_S_I,ratio_C_O_F_Br_Cl,ratio_C_O_F_Br_I,ratio_C_O_F_Cl_I,ratio_C_O_S_Br_Cl,ratio_C_O_S_Br_I,ratio_C_O_S_Cl_I,ratio_C_O_Br_Cl_I,ratio_C_F_S_Br_Cl,ratio_C_F_S_Br_I,ratio_C_F_S_Cl_I,ratio_C_F_Br_Cl_I,ratio_C_S_Br_Cl_I,ratio_N_O_F_S_Br,ratio_N_O_F_S_Cl,ratio_N_O_F_S_I,ratio_N_O_F_Br_Cl,ratio_N_O_F_Br_I,ratio_N_O_F_Cl_I,ratio_N_O_S_Br_Cl,ratio_N_O_S_Br_I,ratio_N_O_S_Cl_I,ratio_N_O_Br_Cl_I,ratio_N_F_S_Br_Cl,ratio_N_F_S_Br_I,ratio_N_F_S_Cl_I,ratio_N_F_Br_Cl_I,ratio_N_S_Br_Cl_I,ratio_O_F_S_Br_Cl,ratio_O_F_S_Br_I,ratio_O_F_S_Cl_I,ratio_O_F_Br_Cl_I,ratio_O_S_Br_Cl_I,ratio_F_S_Br_Cl_I,ratio_C_N_O_F_S_Br,ratio_C_N_O_F_S_Cl,ratio_C_N_O_F_S_I,ratio_C_N_O_F_Br_Cl,ratio_C_N_O_F_Br_I,ratio_C_N_O_F_Cl_I,ratio_C_N_O_S_Br_Cl,ratio_C_N_O_S_Br_I,ratio_C_N_O_S_Cl_I,ratio_C_N_O_Br_Cl_I,ratio_C_N_F_S_Br_Cl,ratio_C_N_F_S_Br_I,ratio_C_N_F_S_Cl_I,ratio_C_N_F_Br_Cl_I,ratio_C_N_S_Br_Cl_I,ratio_C_O_F_S_Br_Cl,ratio_C_O_F_S_Br_I,ratio_C_O_F_S_Cl_I,ratio_C_O_F_Br_Cl_I,ratio_C_O_S_Br_Cl_I,ratio_C_F_S_Br_Cl_I,ratio_N_O_F_S_Br_Cl,ratio_N_O_F_S_Br_I,ratio_N_O_F_S_Cl_I,ratio_N_O_F_Br_Cl_I,ratio_N_O_S_Br_Cl_I,ratio_N_F_S_Br_Cl_I,ratio_O_F_S_Br_Cl_I,ratio_C_N_O_F_S_Br_Cl,ratio_C_N_O_F_S_Br_I,ratio_C_N_O_F_S_Cl_I,ratio_C_N_O_F_Br_Cl_I,ratio_C_N_O_S_Br_Cl_I,ratio_C_N_F_S_Br_Cl_I,ratio_C_O_F_S_Br_Cl_I,ratio_N_O_F_S_Br_Cl_I
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC5CCN(C6CCOCC6)CC5)c([N+](=O)[O-])c4)c(Nc4ccccc4Cl)c3)CC2)=C(c2ccc(Cl)cc2)C1,8.119987162,0.0869553279584715,149.39,9.6051,64,0.75,0.109375,0.09375,,0.015625,,0.03125,,0.859375,0.84375,,0.765625,,0.78125,,0.203125,,0.125,,0.140625,,,0.109375,,0.125,,,,,,,0.046875,,,,,0.953125,,0.875,,0.890625,,,0.859375,,0.875,,,,,,,0.796875,,,,,,0.21875,,0.234375,,,,,,,0.15625,,,,,,,,,,0.140625,,,,,,,,,,,,,,,,0.96875,,0.984375,,,,,,,0.90625,,,,,,,,,,0.890625,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1)[C@H](Cc1ccccc1)N1C(=O)N[C@@H](Cc2ccc(-c3ccc(Cl)cc3)cc2)C1=O,5.431798276,0.1346906725517848,155.79,5.147900000000004,45,0.6888888888888889,0.08888888888888889,0.15555555555555556,,0.022222222222222223,,0.044444444444444446,,0.7777777777777778,0.8444444444444444,,0.7111111111111111,,0.7333333333333333,,0.24444444444444444,,0.1111111111111111,,0.13333333333333333,,,0.17777777777777778,,0.2,,,,,,,0.06666666666666667,,,,,0.9333333333333333,,0.8,,0.8222222222222222,,,0.8666666666666667,,0.8888888888888888,,,,,,,0.7555555555555555,,,,,,0.26666666666666666,,0.28888888888888886,,,,,,,0.15555555555555556,,,,,,,,,,0.2222222222222222,,,,,,,,,,,,,,,,0.9555555555555556,,0.9777777777777777,,,,,,,0.8444444444444444,,,,,,,,,,0.9111111111111111,,,,,,,,,,,,,,,,,,,,0.3111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cc5cc[nH]c5cc4F)c3)CC2)=C(c2ccc(Cl)cc2)C1,9.361510743,0.0815549685268538,159.14,9.1564,61,0.7377049180327869,0.09836065573770492,0.11475409836065574,0.01639344262295082,0.01639344262295082,,0.01639344262295082,,0.8360655737704918,0.8524590163934426,0.7540983606557377,0.7540983606557377,,0.7540983606557377,,0.21311475409836064,0.11475409836065574,0.11475409836065574,,0.11475409836065574,,0.13114754098360656,0.13114754098360656,,0.13114754098360656,,0.03278688524590164,,0.03278688524590164,,,0.03278688524590164,,,,,0.9508196721311475,0.8524590163934426,0.8524590163934426,,0.8524590163934426,,0.8688524590163934,0.8688524590163934,,0.8688524590163934,,0.7704918032786885,,0.7704918032786885,,,0.7704918032786885,,,,,0.22950819672131148,0.22950819672131148,,0.22950819672131148,,0.13114754098360656,,0.13114754098360656,,,0.13114754098360656,,,,,0.14754098360655737,,0.14754098360655737,,,0.14754098360655737,,,,,,0.04918032786885246,,,,,,,,,0.9672131147540983,0.9672131147540983,,0.9672131147540983,,0.8688524590163934,,0.8688524590163934,,,0.8688524590163934,,,,,0.8852459016393442,,0.8852459016393442,,,0.8852459016393442,,,,,,0.7868852459016393,,,,,,,,,0.2459016393442623,,0.2459016393442623,,,0.2459016393442623,,,,,,0.14754098360655737,,,,,,,,,,0.16393442622950818,,,,,,,,,,,,,,0.9836065573770492,,0.9836065573770492,,,0.9836065573770492,,,,,,0.8852459016393442,,,,,,,,,,0.9016393442622951,,,,,,,,,,,,,,,0.26229508196721313,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCCCN5CCNC(=O)C5)c([N+](=O)[O-])c4)c(Oc4cc(F)cc5[nH]ccc45)c3)CC2)=C(c2ccc(Cl)cc2)C1,10.01322827,0.0456987307051977,182.25,7.799300000000009,65,0.7230769230769231,0.12307692307692308,0.1076923076923077,0.015384615384615385,0.015384615384615385,,0.015384615384615385,,0.8461538461538461,0.8307692307692308,0.7384615384615385,0.7384615384615385,,0.7384615384615385,,0.23076923076923078,0.13846153846153847,0.13846153846153847,,0.13846153846153847,,0.12307692307692308,0.12307692307692308,,0.12307692307692308,,0.03076923076923077,,0.03076923076923077,,,0.03076923076923077,,,,,0.9538461538461539,0.8615384615384616,0.8615384615384616,,0.8615384615384616,,0.8461538461538461,0.8461538461538461,,0.8461538461538461,,0.7538461538461538,,0.7538461538461538,,,0.7538461538461538,,,,,0.24615384615384617,0.24615384615384617,,0.24615384615384617,,0.15384615384615385,,0.15384615384615385,,,0.15384615384615385,,,,,0.13846153846153847,,0.13846153846153847,,,0.13846153846153847,,,,,,0.046153846153846156,,,,,,,,,0.9692307692307692,0.9692307692307692,,0.9692307692307692,,0.8769230769230769,,0.8769230769230769,,,0.8769230769230769,,,,,0.8615384615384616,,0.8615384615384616,,,0.8615384615384616,,,,,,0.7692307692307693,,,,,,,,,0.26153846153846155,,0.26153846153846155,,,0.26153846153846155,,,,,,0.16923076923076924,,,,,,,,,,0.15384615384615385,,,,,,,,,,,,,,0.9846153846153847,,0.9846153846153847,,,0.9846153846153847,,,,,,0.8923076923076924,,,,,,,,,,0.8769230769230769,,,,,,,,,,,,,,,0.27692307692307694,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1(C)CC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cc5cc[nH]c5cc4F)c3)CC2)CO1,10.76955108,0.0767359846399049,168.36999999999998,8.392800000000006,62,0.7258064516129032,0.0967741935483871,0.12903225806451613,0.016129032258064516,0.016129032258064516,,0.016129032258064516,,0.8225806451612904,0.8548387096774194,0.7419354838709677,0.7419354838709677,,0.7419354838709677,,0.22580645161290322,0.11290322580645161,0.11290322580645161,,0.11290322580645161,,0.14516129032258066,0.14516129032258066,,0.14516129032258066,,0.03225806451612903,,0.03225806451612903,,,0.03225806451612903,,,,,0.9516129032258065,0.8387096774193549,0.8387096774193549,,0.8387096774193549,,0.8709677419354839,0.8709677419354839,,0.8709677419354839,,0.7580645161290323,,0.7580645161290323,,,0.7580645161290323,,,,,0.24193548387096775,0.24193548387096775,,0.24193548387096775,,0.12903225806451613,,0.12903225806451613,,,0.12903225806451613,,,,,0.16129032258064516,,0.16129032258064516,,,0.16129032258064516,,,,,,0.04838709677419355,,,,,,,,,0.967741935483871,0.967741935483871,,0.967741935483871,,0.8548387096774194,,0.8548387096774194,,,0.8548387096774194,,,,,0.8870967741935484,,0.8870967741935484,,,0.8870967741935484,,,,,,0.7741935483870968,,,,,,,,,0.25806451612903225,,0.25806451612903225,,,0.25806451612903225,,,,,,0.14516129032258066,,,,,,,,,,0.1774193548387097,,,,,,,,,,,,,,0.9838709677419355,,0.9838709677419355,,,0.9838709677419355,,,,,,0.8709677419354839,,,,,,,,,,0.9032258064516129,,,,,,,,,,,,,,,0.27419354838709675,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN1CCN(Nc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3cccc4c3CC(=O)N4)cc2[N+](=O)[O-])CC1,9.882728704,0.0984558967867039,169.7,7.014000000000008,62,0.7258064516129032,0.12903225806451613,0.11290322580645161,,0.016129032258064516,,0.016129032258064516,,0.8548387096774194,0.8387096774193549,,0.7419354838709677,,0.7419354838709677,,0.24193548387096775,,0.14516129032258066,,0.14516129032258066,,,0.12903225806451613,,0.12903225806451613,,,,,,,0.03225806451612903,,,,,0.967741935483871,,0.8709677419354839,,0.8709677419354839,,,0.8548387096774194,,0.8548387096774194,,,,,,,0.7580645161290323,,,,,,0.25806451612903225,,0.25806451612903225,,,,,,,0.16129032258064516,,,,,,,,,,0.14516129032258066,,,,,,,,,,,,,,,,0.9838709677419355,,0.9838709677419355,,,,,,,0.8870967741935484,,,,,,,,,,0.8709677419354839,,,,,,,,,,,,,,,,,,,,0.27419354838709675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4ccc5[nH]cc(CCN)c5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,7.286593468,0.0581602685785376,185.16,8.766100000000005,64,0.75,0.109375,0.109375,,0.015625,,0.015625,,0.859375,0.859375,,0.765625,,0.765625,,0.21875,,0.125,,0.125,,,0.125,,0.125,,,,,,,0.03125,,,,,0.96875,,0.875,,0.875,,,0.875,,0.875,,,,,,,0.78125,,,,,,0.234375,,0.234375,,,,,,,0.140625,,,,,,,,,,0.140625,,,,,,,,,,,,,,,,0.984375,,0.984375,,,,,,,0.890625,,,,,,,,,,0.890625,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN1CCN(Nc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)OC5)CC4)cc3Oc3cc4cc[nH]c4cc3F)cc2[N+](=O)[O-])CC1,10.23657201,0.0859231037586748,165.62,7.1286000000000085,62,0.7096774193548387,0.12903225806451613,0.11290322580645161,0.016129032258064516,0.016129032258064516,,0.016129032258064516,,0.8387096774193549,0.8225806451612904,0.7258064516129032,0.7258064516129032,,0.7258064516129032,,0.24193548387096775,0.14516129032258066,0.14516129032258066,,0.14516129032258066,,0.12903225806451613,0.12903225806451613,,0.12903225806451613,,0.03225806451612903,,0.03225806451612903,,,0.03225806451612903,,,,,0.9516129032258065,0.8548387096774194,0.8548387096774194,,0.8548387096774194,,0.8387096774193549,0.8387096774193549,,0.8387096774193549,,0.7419354838709677,,0.7419354838709677,,,0.7419354838709677,,,,,0.25806451612903225,0.25806451612903225,,0.25806451612903225,,0.16129032258064516,,0.16129032258064516,,,0.16129032258064516,,,,,0.14516129032258066,,0.14516129032258066,,,0.14516129032258066,,,,,,0.04838709677419355,,,,,,,,,0.967741935483871,0.967741935483871,,0.967741935483871,,0.8709677419354839,,0.8709677419354839,,,0.8709677419354839,,,,,0.8548387096774194,,0.8548387096774194,,,0.8548387096774194,,,,,,0.7580645161290323,,,,,,,,,0.27419354838709675,,0.27419354838709675,,,0.27419354838709675,,,,,,0.1774193548387097,,,,,,,,,,0.16129032258064516,,,,,,,,,,,,,,0.9838709677419355,,0.9838709677419355,,,0.9838709677419355,,,,,,0.8870967741935484,,,,,,,,,,0.8709677419354839,,,,,,,,,,,,,,,0.2903225806451613,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1cc(S(=O)(=O)NC(=O)c2ccc(N3CCN(CC4=C(c5ccc(Cl)cc5)CC(C)(C)CC4)CC3)cc2Oc2cc3cc[nH]c3cc2F)cnc1OCC1CCOCC1,8.343901798,0.1184287840407704,126.09000000000002,8.839000000000004,61,0.7704918032786885,0.08196721311475409,0.09836065573770492,0.01639344262295082,0.01639344262295082,,0.01639344262295082,,0.8524590163934426,0.8688524590163934,0.7868852459016393,0.7868852459016393,,0.7868852459016393,,0.18032786885245902,0.09836065573770492,0.09836065573770492,,0.09836065573770492,,0.11475409836065574,0.11475409836065574,,0.11475409836065574,,0.03278688524590164,,0.03278688524590164,,,0.03278688524590164,,,,,0.9508196721311475,0.8688524590163934,0.8688524590163934,,0.8688524590163934,,0.8852459016393442,0.8852459016393442,,0.8852459016393442,,0.8032786885245902,,0.8032786885245902,,,0.8032786885245902,,,,,0.19672131147540983,0.19672131147540983,,0.19672131147540983,,0.11475409836065574,,0.11475409836065574,,,0.11475409836065574,,,,,0.13114754098360656,,0.13114754098360656,,,0.13114754098360656,,,,,,0.04918032786885246,,,,,,,,,0.9672131147540983,0.9672131147540983,,0.9672131147540983,,0.8852459016393442,,0.8852459016393442,,,0.8852459016393442,,,,,0.9016393442622951,,0.9016393442622951,,,0.9016393442622951,,,,,,0.819672131147541,,,,,,,,,0.21311475409836064,,0.21311475409836064,,,0.21311475409836064,,,,,,0.13114754098360656,,,,,,,,,,0.14754098360655737,,,,,,,,,,,,,,0.9836065573770492,,0.9836065573770492,,,0.9836065573770492,,,,,,0.9016393442622951,,,,,,,,,,0.9180327868852459,,,,,,,,,,,,,,,0.22950819672131148,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC5CCC(N(C6CC6)C6CC6)CC5)c([N+](=O)[O-])c4)c(Oc4cc5cc[nH]c5cc4F)c3)CC2)=C(c2ccc(Cl)cc2)C1,9.705533774,0.0682548640309166,153.14999999999998,10.915399999999993,68,0.7647058823529411,0.10294117647058823,0.08823529411764706,0.014705882352941176,0.014705882352941176,,0.014705882352941176,,0.8676470588235294,0.8529411764705882,0.7794117647058824,0.7794117647058824,,0.7794117647058824,,0.19117647058823528,0.11764705882352941,0.11764705882352941,,0.11764705882352941,,0.10294117647058823,0.10294117647058823,,0.10294117647058823,,0.029411764705882353,,0.029411764705882353,,,0.029411764705882353,,,,,0.9558823529411765,0.8823529411764706,0.8823529411764706,,0.8823529411764706,,0.8676470588235294,0.8676470588235294,,0.8676470588235294,,0.7941176470588235,,0.7941176470588235,,,0.7941176470588235,,,,,0.20588235294117646,0.20588235294117646,,0.20588235294117646,,0.1323529411764706,,0.1323529411764706,,,0.1323529411764706,,,,,0.11764705882352941,,0.11764705882352941,,,0.11764705882352941,,,,,,0.04411764705882353,,,,,,,,,0.9705882352941176,0.9705882352941176,,0.9705882352941176,,0.8970588235294118,,0.8970588235294118,,,0.8970588235294118,,,,,0.8823529411764706,,0.8823529411764706,,,0.8823529411764706,,,,,,0.8088235294117647,,,,,,,,,0.22058823529411764,,0.22058823529411764,,,0.22058823529411764,,,,,,0.14705882352941177,,,,,,,,,,0.1323529411764706,,,,,,,,,,,,,,0.9852941176470589,,0.9852941176470589,,,0.9852941176470589,,,,,,0.9117647058823529,,,,,,,,,,0.8970588235294118,,,,,,,,,,,,,,,0.23529411764705882,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc(N)c(C#N)c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,10.10237291,0.0874094950162866,206.05,7.632480000000008,61,0.7213114754098361,0.13114754098360656,0.11475409836065574,,0.01639344262295082,,0.01639344262295082,,0.8524590163934426,0.8360655737704918,,0.7377049180327869,,0.7377049180327869,,0.2459016393442623,,0.14754098360655737,,0.14754098360655737,,,0.13114754098360656,,0.13114754098360656,,,,,,,0.03278688524590164,,,,,0.9672131147540983,,0.8688524590163934,,0.8688524590163934,,,0.8524590163934426,,0.8524590163934426,,,,,,,0.7540983606557377,,,,,,0.26229508196721313,,0.26229508196721313,,,,,,,0.16393442622950818,,,,,,,,,,0.14754098360655737,,,,,,,,,,,,,,,,0.9836065573770492,,0.9836065573770492,,,,,,,0.8852459016393442,,,,,,,,,,0.8688524590163934,,,,,,,,,,,,,,,,,,,,0.2786885245901639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(OCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc(N)c(Cl)c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,10.69897,0.096957501842381,179.46,8.381100000000005,60,0.7166666666666667,0.1,0.13333333333333333,,0.016666666666666666,,0.03333333333333333,,0.8166666666666667,0.85,,0.7333333333333333,,0.75,,0.23333333333333334,,0.11666666666666667,,0.13333333333333333,,,0.15,,0.16666666666666666,,,,,,,0.05,,,,,0.95,,0.8333333333333334,,0.85,,,0.8666666666666667,,0.8833333333333333,,,,,,,0.7666666666666667,,,,,,0.25,,0.26666666666666666,,,,,,,0.15,,,,,,,,,,0.18333333333333332,,,,,,,,,,,,,,,,0.9666666666666667,,0.9833333333333333,,,,,,,0.8666666666666667,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,0.2833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4Cl)c3)CC2)=C(c2ccc(Cl)cc2)C1,8.205302873,0.0759743807948868,172.03,9.313300000000002,62,0.7258064516129032,0.11290322580645161,0.11290322580645161,,0.016129032258064516,,0.03225806451612903,,0.8387096774193549,0.8387096774193549,,0.7419354838709677,,0.7580645161290323,,0.22580645161290322,,0.12903225806451613,,0.14516129032258066,,,0.12903225806451613,,0.14516129032258066,,,,,,,0.04838709677419355,,,,,0.9516129032258065,,0.8548387096774194,,0.8709677419354839,,,0.8548387096774194,,0.8709677419354839,,,,,,,0.7741935483870968,,,,,,0.24193548387096775,,0.25806451612903225,,,,,,,0.16129032258064516,,,,,,,,,,0.16129032258064516,,,,,,,,,,,,,,,,0.967741935483871,,0.9838709677419355,,,,,,,0.8870967741935484,,,,,,,,,,0.8870967741935484,,,,,,,,,,,,,,,,,,,,0.27419354838709675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4ccc(NCC(F)(F)F)nc4)c3)CC2)=C(c2ccc(Cl)cc2)C1,7.307241182,0.076530700876295,168.26999999999998,9.152800000000004,64,0.703125,0.109375,0.109375,0.046875,0.015625,,0.015625,,0.8125,0.8125,0.75,0.71875,,0.71875,,0.21875,0.15625,0.125,,0.125,,0.15625,0.125,,0.125,,0.0625,,0.0625,,,0.03125,,,,,0.921875,0.859375,0.828125,,0.828125,,0.859375,0.828125,,0.828125,,0.765625,,0.765625,,,0.734375,,,,,0.265625,0.234375,,0.234375,,0.171875,,0.171875,,,0.140625,,,,,0.171875,,0.171875,,,0.140625,,,,,,0.078125,,,,,,,,,0.96875,0.9375,,0.9375,,0.875,,0.875,,,0.84375,,,,,0.875,,0.875,,,0.84375,,,,,,0.78125,,,,,,,,,0.28125,,0.28125,,,0.25,,,,,,0.1875,,,,,,,,,,0.1875,,,,,,,,,,,,,,0.984375,,0.984375,,,0.953125,,,,,,0.890625,,,,,,,,,,0.890625,,,,,,,,,,,,,,,0.296875,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
